source,target,date
1,2,1753-09-2
1,2,1753-09-2
1,2,1753-10-0
1,2,1753-10-1
1,2,1753-10-1
1,2,1753-10-2
1,2,1753-11-1
1,2,1753-11-2
1,2,1753-12-0
1,2,1753-12-1
1,2,1753-12-2
1,2,1754-01-0
1,2,1754-01-2
1,2,1754-02-0
1,2,1754-03-0
1,2,1754-03-2
1,2,1754-04-2
1,2,1754-04-3
1,2,1754-05-1
1,2,1754-06-0
1,2,1754-07-0
1,2,1754-07-2
1,2,1754-08-0
1,2,1754-08-1
1,2,1754-09-0
1,2,1754-09-2
1,2,1754-10-1
1,2,1754-11-1
1,2,1754-12-1
1,2,1754-12-3
1,2,1755-01-2
1,2,1755-03-1
1,2,1755-04-1
3,2,1755-05-1
1,2,1755-05-1
4,2,1755-05-1
4,2,1755-05-1
4,2,1755-05-1
1,2,1755-05-1
1,2,1755-06-0
4,2,1755-06-1
5,2,1755-06-1
1,2,1755-07-0
1,2,1755-07-2
1,2,1755-08-0
1,2,1755-09-1
1,2,1755-10-0
1,2,1755-10-2
4,2,1755-11-0
1,2,1755-12-0
1,2,1755-12-3
2,6,1755-12-3
1,2,1756-02-1
1,2,1756-03-1
1,2,1756-04-0
2,7,1756-12-0
2,8,1757-01-0
9,2,1757-02-2
1,2,1757-04-3
1,2,1757-05-1
10,2,1758-01-0
1,2,1758-08-0
1,2,1758-09-0
1,2,1758-11-0
1,2,1758-11-1
1,2,1758-12-2
2,11,1760-03-2
2,12,1762-03-3
2,11,1762-07-2
2,11,1762-07-2
11,2,1762-08-0
2,11,1762-09-0
11,2,1762-09-1
2,11,1762-09-1
2,13,1762-09-1
2,11,1762-09-2
11,2,1762-10-0
2,11,1762-10-0
11,2,1762-10-1
2,11,1762-10-1
2,11,1762-10-2
2,11,1762-11-0
2,11,1762-11-2
2,11,1762-12-2
2,10,1763-01-0
2,11,1763-01-0
10,2,1763-01-3
10,2,1763-02-0
2,12,1763-04-0
2,11,1763-06-2
2,11,1763-06-3
2,11,1763-06-3
14,15,1763-07-0
10,2,1763-08-0
10,2,1763-09-0
2,16,1763-10-2
2,11,1763-10-2
2,11,1763-10-2
11,2,1763-11-1
10,2,1763-12-0
2,17,1763-12-1
18,19,1764-00-0
2,20,1764-01-0
2,21,1764-01-0
10,2,1764-01-0
2,11,1764-01-1
2,12,1764-01-2
10,2,1764-02-0
11,2,1764-02-0
2,11,1764-02-2
22,2,1764-04-0
2,22,1764-04-1
2,11,1764-05-1
2,22,1764-05-1
2,11,1764-05-2
2,11,1764-05-2
11,2,1764-06-0
2,11,1764-06-0
11,2,1764-06-1
2,23,1764-06-1
2,23,1764-06-1
23,2,1764-06-1
23,2,1764-07-0
2,11,1764-07-0
23,2,1764-07-0
11,2,1764-07-1
2,11,1764-07-1
2,11,1764-07-2
2,11,1764-07-2
11,2,1764-07-2
2,11,1764-07-2
2,11,1764-07-2
2,11,1764-07-2
2,11,1764-07-2
11,2,1764-07-2
2,11,1764-07-2
2,11,1764-08-0
2,11,1764-08-0
11,2,1764-08-0
2,11,1764-08-0
2,11,1764-08-0
11,2,1764-08-0
2,11,1764-08-0
2,11,1764-08-0
11,2,1764-08-1
2,11,1764-08-1
2,11,1764-08-1
2,11,1764-08-1
11,2,1764-08-1
2,11,1764-08-1
2,11,1764-08-1
11,2,1764-08-2
