id,name
1,Jeanne-Louise Prevost
2,Isabelle de Charrière
3,Marie-Marguerite Perroud
4,Isabella Agneta van Lockhorst
5,Marie-Marguerite Jeanne-Louise et Perroud Prevost
6,Reinout Gerard van Tuyll van Serooskerken
7,Pieter comte de Dönhoff
8,Pieter comte de (indirectement) Dönhoff
9,Marie Jeanne-Louise et Agier Prevost
10,Gijsbert Jan van Hardenbroek
11,David-Louis Constant d'Hermenches
12,Marie Poupart
13,Helena Jacoba van ou Anna Maria van Tuyll van Serooskerken-Singendonck Tuyll van Serooskerken-de Vicq
14,Chevalier de Nivers
15,Editor of the Journal Etranger
16,Cornelis de Perponcher
17,Frederik Christiaan Hendrik (Frits) cousin Tuyll van Serooskerken
18,Jan Burman
19,Hendrik Spruit
20,Pieter von) Marquis de (Dönhoff Arnonville
21,Gijsbert Jan van (?) Hardenbroek
22,Vincent Maximiliaan van Tuyll van Serooskerken
23,James Boswell
24,Susanna Elisabeth Hasselaer
25,Adolf Werner C.W. van Pallandt
26,Diederik Jacob van Tuyll van Serooskerken
27,Marquis de Bellegarde
28,Helena Jacoba van Tuyll van Serooskerken-de Vicq
29,Charles-Emmanuel de Charrière
30,une tante
31,Jan Walraad van Welderen
32,Guillaume-Anne de Constant de Villars
33,Maurice Quentin de la Tour
34,Johanna Maria de Perponcher-van Tuyll
35,Anna Elisabeth van Tuyll-van Reede of Athlone
36,Frederik Christiaan van Reede of Athlone
37,Isabelle et Charles-Emmanuel de Charrière
38,Salomon et Catherine Charrière de Sévery
39,Catherine de Charrière de Sévery
40,Henric Fagel
41,Dorothea Henriette van Tuyll van Serooskerken-de Pagniet
42,Claude de Narbonne-Pelet de Salgas
43,Johanna Catharina van Tuyll van Serooskerken-Fagel
44,Pierre-Alexandre Du Peyrou
45,Benjamin Constant
46,Arend de Perponcher
47,Eusebia Jacoba Torck
48,Jean-Pierre de Chambrier d'Oleyres
49,Susanna Tulleken
50,Henriette L'Hardy
51,anonyme
52,Willem-René van (neveu) Tuyll van Serooskerken
53,Charles Dapples
54,Thérèse Huber
55,Luise von Madeweiss
56,Jan Kol
57,Willem-René van (frère) Tuyll van Serooskerken
58,Marie Catherine Bentinck
59,Friedrich Adolf von Kalckreuth
60,chirurgien Le Fevre
61,Alexander Léonard van Plettenberg
62,Joseph-François Le Gualès
63,Marie-Anne Morlet
64,Marianne Du Pasquier
65,Abraham Liechtenhahn
66,Charles-Louis van Tuyll van Serooskerken
67,Isabelle de Gélieu
68,Ludwig Ferdinand Huber
69,Isabelle de Charles-Louis de et Charrière Tuyll van Serooskerken
70,Willem-René van Isabelle de and Tuyll van Serooskerken Charrière
71,Isabelle de Willem-René de et Charrière Tuyll van Serooskerken
72,Willem-René van Tuyll van Serooskerken
73,Michael von Wagner
74,Caroline de Sandoz-Rollin
75,Pierre de Malarmey de Roussillon
76,Rosette de Bosset-de Luze
77,Gerard Godard Taets van Amerongen
78,Gérard Godard Taets van Amerongen
79,Elizabeth Robinson Montagu
80,James Beattie
81,Hester Thrale Piozzi
82,Matthew Robinson
83,Agatha Drummond
84,Anne Donnellan
85,Sarah Robinson Scott
86,Eva Maria Garrick
87,Edmund Burke
88,Edward Montagu
89,Elizabeth Drake Robinson
90,Elizabeth Harcourt
91,George Simon Harcourt
92,Grace Robinson Freind
93,William Freind
94,Henry Home
95,Margaret Cavendish Bentinck
96,Mary Anstey
97,Mary Catherine Knollys
98,Barbara Montagu
99,Benjamin Stillingfleet
100,Gilbert West
101,Charles Lyttelton
102,Edward Bridgen
103,Elizabeth Carter
104,Elizabeth Vesey
105,Frances Boscawen
106,Frances Pulteney
107,Frances Reynolds
108,George Lyttelton
109,George Macartney
110,James Harris
111,John Dickenson
112,John Wright
113,Leonard Smelt
114,Mary Hamilton
115,Mary Richardson Robinson
116,Messenger Monsey
117,Morris Robinson sr
118,Mrs Kennet
119,Pierre Francois Le Courayer
120,Sarah Robinson Truman
121,Thomas Lyttelton
122,William King
123,William Pulteney
124,William Weller Pepys
125,Matthew Montagu
126,William Henry Lyttelton
127,John Gregory
128,Horace Walpole
129,Mrs Newenham
130,Grace Freind Campbell
131,Ann Dillingham Ord
132,Catharina Lydia Brydres
133,Sarah Sloane Stanley
134,Philip Yorke
135,Eliza Berkeley
136,Elizabeth Charlton
137,John Douglas
138,George Wilson
139,Jane Smelt
140,John Burrows
141,Mrs Cholmely
142,Miss Cadogan
143,Hugh Blair
144,Jane Greenland Robinson
145,William Robertson
146,Matthew Boulton
147,Matthew Robinson Morris
148,Charles Robinson
149,Joshua Reynolds
150,Sarah Robinson Hougham
